Files already downloaded and verified
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  34, time= 17.3s | Train: skip eval | Valid: time= 14.6s loss=1.228, TAw acc= 62.6% |
| Epoch  35, time= 18.4s | Train: skip eval | Valid: time= 14.0s loss=1.255, TAw acc= 62.2% |
| Epoch  36, time= 17.9s | Train: skip eval | Valid: time= 14.1s loss=1.219, TAw acc= 63.0% | *
| Epoch  37, time= 18.0s | Train: skip eval | Valid: time= 14.1s loss=1.217, TAw acc= 62.6% | *
| Epoch  38, time= 17.9s | Train: skip eval | Valid: time= 14.3s loss=1.232, TAw acc= 62.3% |
| Epoch  39, time= 17.7s | Train: skip eval | Valid: time= 13.9s loss=1.206, TAw acc= 63.4% | *
| Epoch  40, time= 17.5s | Train: skip eval | Valid: time= 13.6s loss=1.247, TAw acc= 62.5% |
| Epoch  41, time= 19.3s | Train: skip eval | Valid: time= 14.1s loss=1.220, TAw acc= 62.9% |
| Epoch  42, time= 18.3s | Train: skip eval | Valid: time= 14.4s loss=1.213, TAw acc= 62.5% |
| Epoch  43, time= 17.8s | Train: skip eval | Valid: time= 14.5s loss=1.209, TAw acc= 63.4% |
| Epoch  44, time= 18.4s | Train: skip eval | Valid: time= 14.6s loss=1.209, TAw acc= 63.2% | lr=1.2e-03
| Epoch  45, time= 18.3s | Train: skip eval | Valid: time= 14.1s loss=1.215, TAw acc= 62.6% |
| Epoch  46, time= 17.7s | Train: skip eval | Valid: time= 13.9s loss=1.202, TAw acc= 63.7% | *
| Epoch  47, time= 16.9s | Train: skip eval | Valid: time= 13.3s loss=1.196, TAw acc= 63.4% | *
| Epoch  48, time= 16.4s | Train: skip eval | Valid: time= 13.4s loss=1.211, TAw acc= 63.3% |
| Epoch  49, time= 17.0s | Train: skip eval | Valid: time= 14.1s loss=1.214, TAw acc= 63.4% |
| Epoch  50, time= 17.9s | Train: skip eval | Valid: time= 13.6s loss=1.208, TAw acc= 63.3% |
| Epoch  51, time= 18.4s | Train: skip eval | Valid: time= 14.1s loss=1.202, TAw acc= 63.5% |
| Epoch  52, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.210, TAw acc= 63.0% | lr=4.1e-04
| Epoch  53, time= 17.8s | Train: skip eval | Valid: time= 13.9s loss=1.227, TAw acc= 63.3% |
| Epoch  54, time= 17.5s | Train: skip eval | Valid: time= 14.1s loss=1.221, TAw acc= 62.6% |
| Epoch  55, time= 17.5s | Train: skip eval | Valid: time= 13.9s loss=1.211, TAw acc= 63.2% |
| Epoch  56, time= 17.5s | Train: skip eval | Valid: time= 13.9s loss=1.224, TAw acc= 63.0% |
| Epoch  57, time= 17.8s | Train: skip eval | Valid: time= 14.0s loss=1.203, TAw acc= 63.5% | lr=1.4e-04
| Epoch  58, time= 17.8s | Train: skip eval | Valid: time= 14.0s loss=1.214, TAw acc= 63.1% |
| Epoch  59, time= 18.2s | Train: skip eval | Valid: time= 14.0s loss=1.213, TAw acc= 63.2% |
| Epoch  60, time= 18.6s | Train: skip eval | Valid: time= 13.9s loss=1.211, TAw acc= 63.1% |
| Epoch  61, time= 17.6s | Train: skip eval | Valid: time= 13.8s loss=1.222, TAw acc= 63.2% |
| Epoch  62, time= 17.6s | Train: skip eval | Valid: time= 14.1s loss=1.240, TAw acc= 62.7% | lr=4.6e-05
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=2.526 | TAw acc= 29.9%, forg= 30.7%| TAg acc= 19.9%, forg= 40.7% <<<
>>> Test on task  1 : loss=1.174 | TAw acc= 64.3%, forg=  0.0%| TAg acc= 49.2%, forg=  0.0% <<<
Save at ../results\cifar100_finetuning
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=2.250, TAw acc= 33.3% | *
| Epoch   2, time= 17.8s | Train: skip eval | Valid: time= 13.9s loss=2.018, TAw acc= 38.4% | *
| Epoch   3, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.885, TAw acc= 43.4% | *
| Epoch   4, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.933, TAw acc= 43.3% |
| Epoch   5, time= 17.7s | Train: skip eval | Valid: time= 14.1s loss=1.996, TAw acc= 43.2% |
| Epoch   6, time= 17.8s | Train: skip eval | Valid: time= 14.4s loss=1.911, TAw acc= 45.8% |
